arquivo;operacao;horario_comeco;horario_fim;tempo_ms;resultado
C:\Users\PC - U\Desktop\testes\images\AllHalfValues.exr;open_edit_save;2025-11-25_09:37:11.964;2025-11-25_09:37:11.974;11;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\BrightRings.exr;open_edit_save;2025-11-25_09:37:11.976;2025-11-25_09:37:11.988;11;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\BrightRingsNanInf.exr;open_edit_save;2025-11-25_09:37:11.989;2025-11-25_09:37:12.006;15;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\CrissyField.exr;open_edit_save;2025-11-25_09:37:12.008;2025-11-25_09:37:12.022;14;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\Flowers.exr;open_edit_save;2025-11-25_09:37:12.024;2025-11-25_09:37:12.039;14;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\GammaChart.exr;open_edit_save;2025-11-25_09:37:12.040;2025-11-25_09:37:12.055;15;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\Garden.exr;open_edit_save;2025-11-25_09:37:12.058;2025-11-25_09:37:12.073;15;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\GoldenGate.exr;open_edit_save;2025-11-25_09:37:12.075;2025-11-25_09:37:12.090;14;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\GrayRampsDiagonal.exr;open_edit_save;2025-11-25_09:37:12.097;2025-11-25_09:37:12.112;15;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\GrayRampsHorizontal.exr;open_edit_save;2025-11-25_09:37:12.114;2025-11-25_09:37:12.135;19;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\MtTamNorth.exr;open_edit_save;2025-11-25_09:37:12.138;2025-11-25_09:37:12.157;20;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\Ocean.exr;open_edit_save;2025-11-25_09:37:12.160;2025-11-25_09:37:12.183;24;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\RgbRampsDiagonal.exr;open_edit_save;2025-11-25_09:37:12.186;2025-11-25_09:37:12.206;20;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\Spirals.exr;open_edit_save;2025-11-25_09:37:12.209;2025-11-25_09:37:12.229;19;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\SquaresSwirls.exr;open_edit_save;2025-11-25_09:37:12.232;2025-11-25_09:37:12.277;45;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\StarField.exr;open_edit_save;2025-11-25_09:37:12.279;2025-11-25_09:37:12.336;56;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\WideColorGamut.exr;open_edit_save;2025-11-25_09:37:12.339;2025-11-25_09:37:12.371;32;FALHA (CRASH ou Exit Code: )
C:\Users\PC - U\Desktop\testes\images\WideFloatRange.exr;open_edit_save;2025-11-25_09:37:12.374;2025-11-25_09:37:12.452;76;FALHA (CRASH ou Exit Code: )
